genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Rinorea,friisii,Rinorea friisii,Violaceae,correct,EN,confident,1000-1200,1000,1200,1100,200,NA,NA,75,geocat (RL points),12,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roeperocharis,urbaniana,Roeperocharis urbaniana,Orchidaceae,correct,EN,low_confidence,2750,2750,2750,2750,0,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roeperocharis,alcicornis,Roeperocharis alcicornis,Orchidaceae,correct,EN,low_confidence,2600,2600,2600,2600,0,NA,NA,2121,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus,aethiopicus,Rubus aethiopicus,Rosaceae,correct,EN,confident,2600-3000,2600,3000,2800,400,NA,NA,20823,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus,erlangeri,Rubus erlangeri,Rosaceae,over,NT,confident,2990-3600,2990,3600,3295,610,"AR, BA, KF, SD",text,24339,text,44,text,yes,not present,present,present,not present,not present,not present,not present,not present,present,present,not present,not present,not present,not present,4,1
Ruellia,boranica,Ruellia boranica,Acanthaceae,correct,VU,confident,1300-1600,1300,1600,1450,300,NA,NA,1149,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satyrium,aethiopicum,Satyrium aethiopicum,Orchidaceae,over,LC,confident,2000-2500,2000,2500,2250,500,"AR, GD, HA, KF, SU, SD, TU, WG",text,242175,text,24,geocat (GBIF points),yes,not present,present,not present,present,not present,not present,present,not present,present,present,present,present,present,not present,8,1
Saxifraga,hederifolia,Saxifraga hederifolia,Saxifragaceae,under,VU,confident,3400-4500,3400,4500,3950,1100,"AR, GD, GJ",text,42000,text,1250,text,yes,not present,present,not present,present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,3,0
Scadoxus,nutans,Scadoxus nutans,Amaryllidaceae,correct,VU,confident,1000-2300,100,2300,1200,2200,NA,NA,11681,text,66,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria,pseudohispidior,Scleria pseudohispidior,Cyperaceae,correct,VU,confident,1485-1750,1485,1750,1617.5,265,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seddera,ogadenensis,Seddera ogadenensis,Convolvulaceae,correct,CR,confident,1200-1250,1200,1250,1225,50,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seddera,rhodantha,Seddera rhodantha,Convolvulaceae,correct,CR,confident,850,850,850,850,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seddera,simmonsii,Seddera simmonsii,Convolvulaceae,correct,EN,confident,350-1200,350,1200,775,850,NA,NA,430,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
